fname,summary
dev_0,"#Person2#는 감기에 걸렸지만, 천식 검사를 위해 폐 전문의에게 가보라고 권유합니다. #Person1#은 천식 검사 후 폐 전문의를 방문할 것을 권합니다. 의사 선생님은 천식 검사에 도움을 줍니다. #Person2#가 천식을 의심하자 의사 선생님이 도와줍니다."
dev_1,"Jimmy는 #Person1#에게 운동하러 가자고 제안하지만, #Person1#은 두 날짜만 바꾸면 된다고 설명합니다. Jim my는 체육관에서 운동하고, Jim My는 3시 30분에 체육관에서 휴식을 취하며 주간 일정이 엉망이라고 합니다."
dev_2,"#Person1#은 과일이랑 채소, 닭고기를 즐겨 먹지만, #Person2#는 과일과 채소를 많이 먹지 않는다. 대신 구워 먹는 닭고기는 건강해 보이고, 구워 먹으면 훨씬 건강해 보이기 때문이라고 설명한다."
dev_3,"#Person2#는 #Person1#에게 UFO를 볼 수 있다고 말합니다. #Person1#은 #Person2#가 외계인을 지구로 보내는 임무를 수행하고 있다고 생각합니다. #Person2#은 아이고, 아이고, 하나씩 물어봅니다. 아이고는 로봇같이 생겼지만 인간이랑 친구가 되는 것이 임무라고 설명합니다."
dev_4,#Person2#는 #Person1#에게 영화 보러 가기 위해 학교로 가지 않겠다고 말합니다. #Person1#은 내일은 영화 보러 갈까 생각 중입니다.
dev_5,"#Person1#은 담배가 폐암을 유발할 수 있다고 생각하지만, #Person2#는 담배가 건강에 해롭다고 생각합니다. 여사님은 여사님의 말을 돌리지 않습니다. 여사님이 여사님에게 담배를 끊으라고 말합니다. 여사는 여사님을 따라 담배를 끊을 것입니다."
dev_6,Mr. White는 Sherry를 기다리게 해서 #Person1#에게 미안함을 전합니다. Mr은 사인을 한 번 더 부탁드립니다. #Person2#는 다시 한 번 사인을 요청합니다. #Person1#은 한 번만 더 사인을 부탁합니다.
dev_7,"Karen은 주말에 해변에서 조깅과 배구를 했습니다. #Person2#는 #Person1#에게 해변에서 쉬고 싶다고 말합니다. #Person1#은 해변에 가서 쉬고 싶다는 마음을 표현합니다. 또한 도서관에서 주말 보낸 건 아니고, 해변에 가보고 싶다고 설명합니다."
dev_8,"#Person2#는 #Person1#에게 직업과 취미에 대해 묻고, #Person1#은 사진 스튜디오와 사진 찍는 것을 좋아한다고 답합니다. #Person1#은 사진을 찍는 것이 좋은 취미라고 말합니다. 사진 스튜디오가 사진 스튜디오보다 더 잘 되어 있다고 합니다."
dev_9,"#Person1#과 #Person2#는 인터넷에서 Bill Gate 집을 보았습니다. #Person1#은 그 집이 매우 멋지다고 생각합니다. #Person1#은 오래된 코티지를 사고 싶어하며, #Person2# 또한 오래된 집들은 성격이 있어서 좋다고 생각합니다. 그들은 중고 옷 입는 이유도 성격 때문이라고 설명합니다."
dev_10,#Person1#과 #Person2#는 가족이 너무 과보호하여 삶이 힘들다고 말합니다. #Person1#은 #Person2#가 가족을 떠나서 꿈을 펼칠 때라고 생각합니다. #Person2#와 #Person1#은 서로의 인생에 대해 이야기합니다. #Person1#이 #Person2#에게 가족에서 벗어나서 자신의 꿈을 펼치기를 원합니다.
dev_11,"#Person1#과 #Person2#는 홍콩의 광고가 너무 많다고 생각하며, 광고에 돈을 많이 쓰는 대신 가격을 낮춰야 한다고 생각한다."
dev_12,"Mr. Zhang은 #Person1#에게 미국 여자와 데이트를 시도해 보라고 제안하지만, #Person1#은 거절합니다. #Person2#는 더 자주 운동하면 더 강하고 건강한 몸을 가질 수 있을 것이라고 생각합니다."
dev_13,"#Person2#는 #Person1#에게 여성들이 잘하는 스포츠에 대해 질문합니다. #Person1#은 여성과 남성은 비교할 수 없다고 생각하며, #Person2#가 좋아하는 스포츠는 골프와 접촉 스포츠라고 설명합니다. #Person2#의 대답은 일반화해서 분류할 수 없다는 것이지요."
dev_14,"#Person2#는 #Person1#에게 미국 남부에 있는 도시들이 일 년 내내 더운 기후를 가지고 있다고 설명합니다. #Person2#가 워싱턴 주의 시애틀과 오리건 주의 포틀랜드를 예로 들며, 또한 보스턴과 시카고가 그중 두 곳이라고 설명합니다."
dev_15,"#Person1#은과 조지 씨에게 줄리아의 성과를 바탕으로 월급 인상을 결정했다고 말합니다. 줄리아는 첫 인상으로 실감이 안 날 수도 있지만, 회사는 네 능력을 믿고 있어 더 좋은 인상도 있을 거라 생각합니다. #Person2#는 줄리아가 받은 보상에 대해 감사를 표합니다."
dev_16,"#Person2#는 Arden이 승진할 것이라고 생각했지만, 결과는 좋지 않았습니다. #Person1#은 계속해서 열심히 일하면 승진 기회를 얻을 수 있을 것이라고 생각합니다. #Person2#가 Arthen에게 기회를 놓쳤다고 말합니다. #Person1#은 계속 열심히 일하여 승진 기회를 얻어야 합니다."
dev_17,"Sara는 #Person1#에게 신분증과 멀미약, 감기약, 반창고를 챙겼다고 말합니다."
dev_18,"#Person2#는 #Person1#에게 가방을 오후 6시까지 맡아달라고 요청합니다. #Person1#은 이 양식을 작성해 주고, #Person2#가 가방을 저녁에 떠나도록 도와줍니다. #Person2#의 가방 보관증과 보관증은 보관증으로 구성되어 있습니다."
dev_19,#Person1#은 Ms. Murphy에게 정리가 잘 안 되어 Brad가 다시 작업할 수 없다고 말합니다. Ms는 오늘 오후에 다시 작업하기로 결정합니다. Mrad는 내일 오후 다시 작업을 할 예정입니다. Mrd는 다시 작업하겠습니다.
dev_20,#Person1#은 #Person2#에게 맥주 마시면 노래가 더 잘된다고 말합니다. #Person2#는 #Person1#에게 맥주 몇 잔을 마신 후 대만어가 더 잘한다고 말합니다. #Person1#는 #Person2#가 대만어를 더 잘한다는 것을 알립니다. #Person2# 또한 #Person2#의 말을 믿습니다.
dev_21,"미스 Qi는 복통이 사라졌으며, 의사 선생님께서 궤양이 나았는지 보기 위해 내시경 검사를 하실 것이라고 알립니다. #Person2#는 #Person1#에게 빨리 회복하시길 바랄게요."
dev_22,"에이미는 얼굴이 안 좋아지고 기침이 나며, #Person1#은 #Person2#에게 약 좀 가져오라고 제안합니다. #Person2#는 걱정하지 않겠다고 약속합니다. 에이미는 오늘 해외에 나온 첫날이라 몸이 좋지 않습니다. 하지만 약은 걱정하지 않고 푹 자기로 결정했습니다."
dev_23,"#Person2#는 #Person1#에게 스테이크와 버섯을 주문합니다. #Person1#은 스테이크를 레어, 미디엄, 웰던으로 주문하고, 손님에게 스프나 샐러드를 주문합니다. #Person2#가 디저트는 생략하고 크림 양파스프로 주문합니다."
dev_24,"#Person1#과 #Person2#는 1년 내내 열심히 일한 덕분에 연차 휴가가 기다려진다. #Person1#은 이번 달 말에 휴가를 가기로 했으며, #Person2#가 12월에 휴가 갈 수 있다고 말합니다. #Person1#은 #Person2#에게 12월에 휴가를 갈 수 있다는 것을 알립니다."
dev_25,"#Person1#은 직원분, 걸레 좀 갖다 주실 수 있는지 문의합니다. #Person2#는 직원분이 걸레에 묻은 와인을 닦아주었습니다. #Person1#은 다음엔 더 조심해야 한다고 말합니다. 직원분은 걸레로 걸레를 닦아줍니다."
dev_26,#Person2#는 설명서를 이메일로 보내려 했으나 인터넷 속도가 너무 느려 실패했습니다. #Person1#은 이메일 용량에 제한이 있다고 설명합니다. 이에 따라 #Person2#의 이메일 사용량은 4MB를 넘지 않도록 해야 합니다. 또한 경고에서 언급된 소프트웨어를 다운로드할 수도 있습니다.
dev_27,Bill은 Susan에게 사무실에 필요한 서류 캐비닛을 사줄 것을 요청합니다. #Person1#은 #Person2#에게 문구류 목록을 전달합니다. #Person2#는 그것을 기억할 수 있을 것이라고 말합니다. #Person1#는 이미 문구류를 사야 할 목록을 이미 줬습니다.
dev_28,#Person2#는 아침에 일어나서 따뜻하고 신선한 물을 마시는 것이 건강 유지에 좋다고 말합니다. #Person1#은 #Person2#에게 요거트와 요거트를 권합니다. #Person2#가 요거트에 대해 설명해주면 #Person1#은 요거트 요거트가 있다고 생각합니다.
dev_29,"#Person2#는 #Person1#에게 결혼식에서 Harris와 Anne이 잘 어울린다고 말합니다. 그들은 약혼 준비를 하고 있으며, 약혼을 위해 약혼 부케를 준비 중입니다. #Person1#은 #Person2#에게 약혼 준비가 시작되었음을 알립니다."
dev_30,#Person2#는 #Person1#에게 내일 역사 시험에 레코드를 고르러 가자고 제안합니다. #Person1#은 바흐나 모차르트와 같은 클래식 음악을 좋아하지만 역사 시험 이후 음악 취향이 바뀌었다고 설명합니다.
dev_31,"#Person1#은 #Person2#에게 유전공학에 관한 책을 찾아보라고 제안하지만, #Person2#는 다음 주쯤에 오라고 권유합니다. #Person1#은 다음 주에 유전공학 관련 책을 볼 수 있을 것이라고 생각합니다. #Person2#가 다음 주까지 기다리겠다고 합니다."
dev_32,#Person2#는 #Person1#에게 중국 국가 도서관으로 가는 버스가 세 정거장 남았음을 알려줍니다. #Person1#은 교통이 막히지 않아 15분 정도 걸릴 것이라고 설명합니다. #Person2#가 정거장에 도착하면 알려주실 수 있다고 합니다.
dev_33,"Mrs. Brandon은 기말고사 때문에 긴장하고 있으며, #Person1#은 #Person2#에게 영어에 대해 이야기합니다. #Person2#는 영어로 말합니다. #Person1#은 그가 영어 실력을 칭찬했다고 생각합니다. 또한 영어로 대화하는 것을 도와줍니다."
dev_34,"John Keat는 Dr. Anderson의 사무실에 전화를 걸어 의사 선생님을 뵙고 싶다고 말합니다. #Person2#는 귀에 울림과 통증, 분비물이 있다고 설명합니다."
dev_35,"#Person2#는 #Person1#에게 하이킹과 요가 클래스를 제안합니다. #Person1#은 중간중간 경치를 즐기고, 뱀을 피해서 언덕을 빠르게 올라가야 한다고 말합니다. #Person2#은 #Person1#이 걱정하지 않기를 바라고 있습니다. #Person1#은 자연이 멋지다고 생각합니다."
dev_36,"#Person1# Anne과 Caroline은 첫 데이트가 잘 되어 행복하다고 말하며, 두 번째 데이트는 프로포즈하기 전에 먼저 가보는 것이 좋다고 제안합니다. #Person2#는 두 번의 데이트로 서로 알아가기에 충분하지 않다고 생각합니다."
dev_37,#Person1#은 #Person2#에게 세 개의 방이 있는 아파트를 추천합니다. #Person2#는 세 개의 방을 가진 아파트가 빈 방보다 많을 것 같다고 말합니다. #Person1#은 빈 방을 도와줍니다. #Person2#가 빈 방을 찾으면 #Person1#이 도움을 줄 예정입니다.
dev_38,John Cruise는 Mrs. Schroder에게 제 비디오 녹화기에 대해 불만을 제기합니다. 그는 #Person1#에게 전화를 걸어 문제를 해결하겠다고 약속합니다. Mr. Cruse는 회의 중이라 연락이 늦어질 수 있다고 말합니다.
dev_39,"#Person1#은 #Person2#에게 Rainbow Restaurant이 Heath Street까지 가고, 우회전 후 좌회전을 하라고 조언합니다. #Person2#는 두 번째 신호등에서 좌회전할 수 있다고 설명합니다."
dev_40,#Person2#는 #Person1#에게 운동장 근처의 건물과 도서관 남쪽에 있는 건물에 대해 설명합니다. #Person1#은 #Person2#에게 학교를 구경시켜 주고 싶다고 말합니다. #Person2#은 자신의 꿈이 반드시 이루어질 것이라고 믿습니다. #Person1#은 그들의 꿈이 꼭 이루어질 것이라 확신합니다.
dev_41,"#Person1#은 #Person2#에게 중앙 백화점까지 가는 길을 안내합니다. #Person2#는 #Person1#에게 길을 안내하고, #Person1#은 행운을 빌었습니다. #Person1#은 길을 따라 두 블록 정도 가면 오른쪽 코너에 있다고 설명합니다. #Person2#은 행운을 기원합니다. #Person1#은 돈을 잃지 않게 조심할 것이라고 말합니다."
dev_42,#Person1#은 #Person2#에게 어떤 사람들이 자기 고통을 남들에게 쏟아내고 얼마나 비참한지 이야기해서 동정을 얻으려 한다고 설명합니다. #Person2#는 #Person1#에게 #Person2#의 호의와 관대함을 이용했다고 말합니다. #Person1#는 #Person2#가 자신을 도와주었다고 생각합니다.
dev_43,"#Person1#은 #Person2#에게 주방에서 쓸 수 있는 알루미늄 팬을 찾으라고 제안합니다. #Person2#는 뚜껑이 필요하고, #Person1#은 이를 구매하기로 결정합니다. #Person1#은 현금이 필요하며, #Person2#가 이 팬에 맞는 뚜껑을 구매할 예정입니다."
dev_44,Gary는 #Person1#에게 영화를 보러 가자고 제안합니다. #Person1#은 영화 시작 부분을 놓쳤다고 생각합니다. #Person2#는 영화가 7시 5분 전에 시작한다고 말합니다. #Person1#이 영화에 대해 오해한 것을 사과합니다. #Person2#은 영화를 보러 가고 싶지 않다고 합니다.
dev_45,"Daniel은 LUX, LIPTON, WALLS 같은 유명 브랜드를 통해 많은 중국인들이 귀사의 제품을 좋아한다는 것을 알게 되었습니다. #Person1#은 #Person2#에게 매니저 직책에 지원하게 된 이유를 설명합니다."
dev_46,#Person2#는 강아지 러스티가 없어졌다며 #Person1#에게 도움을 요청합니다. #Person1#은 강아지 보호소에 전화해 봤지만 연락이 닿지 않았다고 합니다. #Person1#은 #Person2#가 강아지였을 때 데려온 사람이 누군지 모른다고 생각합니다.
dev_47,Patrick은 전화기가 작동을 하지 않아 #Person2#에게 C 버튼을 눌러달라고 요청합니다. 그는 6시쯤에 사무실로 돌아갈 예정입니다.
dev_48,"#Person2#는 다음 주 금요일 오전 10시에 베이징을 출발하는 캐나다 캘거리행 비행기 티켓 3장을 예약하고 있습니다. #Person1#은 베이실, Basil에 성함을 부탁합니다. 베이실은 한 장에 580달러이며, 티켓 가격은 580 달러입니다."
