fname,summary
test_0,"#Person1#은 Ms. Dawson에게 이메일과 공식 메모로만 제한되는 사내 통신 정책을 설명하고, 메모를 작성하고 배포해 달라고 요청합니다. #Person2#는 즉시 메시지를 계속 사용하면 경고 후 시정 조치가 이루어지며, 두 번째 위반 시 해고될 수 있다고 설명합니다."
test_1,"#Person1#과 #Person2#는 Carrefour 교차로 근처에서 교통체증이 심해지자 대중교통으로 출퇴근하기로 결정했다. #Person1#은 교통체증을 피할 수 있을 것 같다고 생각하며, #Person2#에게 대중교통을 이용하라고 조언한다."
test_2,Kate는 Masha와 Hero가 두 달 동안 별거 중이다가 결국 이혼을 하게 되었다고 말합니다. #Person2#는 이혼이 새해 초쯤에 결정될 것이라고 예상합니다.
test_3,"Brian과 #Person2#는 생일 파티에 초대받아 파티를 즐긴다. #Person1#은 축하의 의미로 목걸이와 드레스를 선물하고, #Person2#와 함께 춤을 추기로 한다. 두 사람은 생일을 축하하기 위해 같이 한 잔 하기로 한다."
test_4,"#Person2#는 #Person1#에게 올림픽 스타디움의 전체 좌석 규모를 설명합니다. #Person1#은 육상 트랙과 점프 구간, 등산 금지 표지판 등을 설명합니다. #Person2# 또한 이를 이해합니다. 그들은 외국인 방문객들을 위해 영어 번역된 표지판을 많이 붙였습니다."
test_5,#Person1#은 #Person2#에게 사업 계획서를 작성하고 투자자를 모아 사업을 시작할 것을 제안합니다. #Person2#는 사업 계획서에 사업 아이디어를 요약한 부분이 포함되어야 한다고 설명합니다. #Person1#은 사업 계획서 작성 후 투자자를 모으는 것이 더 쉽다고 생각합니다.
test_6,"#Person1#과 #Person2#는 수두에 걸린 것 같아 오트밀 목욕에 대해 이야기합니다. #Person2#가 발진이나 알레르기일 수도 있고, 어른이 되어 걸리면 위험할 수도 있다고 말합니다. #Person1#은 계속해서 일을 크게 만들려고 합니다."
test_7,#Person2#는 #Person1#에게 309호에 묵고 있는 동안 세탁 서비스를 이용하지 않았다고 말합니다. #Person1#은 #Person2#를 도와 세탁 서비스 요금에 대해 확인합니다. #Person2#가 착오로 청구서를 수정했지만 #Person1#은 이를 확인하지 못했습니다.
test_8,#Person1#은과 스티븐은 #Person2#에게 이혼을 다시 생각해보도록 설득합니다. #Person2#는 #Person1#에게 이혼할 것을 약속합니다. #Person1#은 아내에게 충성을 맹세할 것입니다. 스티븐도 이에 동의할 것입니다. #Person1#은 계속해서 아내를 사랑할 것이라고 말합니다.
test_9,"#Person2#는 #Person1#에게 아브라함 링컨이 인품이 뛰어나다고 말합니다. #Person1#은 그를 존경하며, 그는 평등한 권리를 위해 싸운 용기도 존경한다고 설명합니다. #Person2# 또한 겸손하고 겸손한 인물이었다고 합니다."
test_10,#Person2#는 #Person1#에게 중국 북부에 심한 황사가 있다고 말합니다. #Person1#은 황사가 그 지역에 사는 사람들에게 어떤 영향을 미칠지 걱정됩니다. #Person2#의 보고서에 따르면 황사가 발생한 후 호흡기 감염 환자 수가 증가하는 경향이 있다고 합니다.
test_11,"Francis는 생일 파티에 초대받았고 원격 조종 자동차 모델이 마음에 들었다고 말합니다. #Person1#은 이 차가 가장 좋은 것들이라고 생각하며, 작은 차를 주겠다고 제안합니다. #Person2#는 자신의 생일 파티를 열어줄 것을 요청합니다."
